osm_id,road_name,road_type,ref,maxspeed,road_health_score,road_condition,potholes_count,accident_count,accident_severity,complaints_count,complaint_type,traffic_density,vehicle_count,allocated_budget_usd,spent_budget_usd,maintenance_type,contractor_name,contractor_rating,weather_condition
10548243,Dodanduwa-Gonapinuwala Road,primary,B106,50,70,Average,10,13,High,0,Pothole,Low,1344,112467,317642,Pothole Repair,UrbanTrack,4.9,Foggy
10548282,Galle Road,trunk,A2,60,30,Poor,12,7,Medium,24,Waterlogging,Medium,9909,298124,59504,Divider Repair,UrbanTrack,4.1,Foggy
10548283,Lotus Road,primary,AC15,60,76,Good,5,3,High,12,Pothole,High,163,455975,164644,Pothole Repair,RoadCare,4.7,Cloudy
10548322,Sea Beach Road,primary,AC26,50,25,Poor,18,12,Medium,2,Pothole,Medium,7553,390515,307666,Pothole Repair,UrbanTrack,4.1,Cloudy
10548344,5th Cross Street,secondary,AC9,40,70,Average,15,4,Low,7,Waterlogging,High,2687,478292,271004,Resurfacing,UrbanTrack,3.8,Foggy
10548362,Olcott Mawatha,trunk,A1,60,75,Good,0,11,High,8,Pothole,Low,6396,263589,233827,Pothole Repair,RoadCare,3,Rainy
10557898,Sri Sangaraja Mawatha,trunk,A1,60,21,Poor,3,6,High,7,Waterlogging,High,9628,101691,89817,Divider Repair,SafeHighway,3.4,Foggy
10586778,Bodhiraja Mawatha,tertiary,AC10,40,90,Good,5,3,Medium,10,Broken Divider,High,7579,469482,50017,Divider Repair,Lanka Infra,2.6,Rainy
10590157,Lotus Road,primary,AC15,50,91,Good,3,13,High,24,Broken Divider,High,5008,148786,295851,Divider Repair,UrbanTrack,4.9,Cloudy
11053415,Akuressa Road,trunk,A17,70,31,Poor,17,8,High,3,Broken Divider,Low,7990,366757,233085,Pothole Repair,UrbanTrack,4.5,Sunny
11528485,Jail Road,primary,AB22,50,77,Good,15,15,Low,4,Broken Divider,Low,2583,421267,379263,Divider Repair,RoadCare,3.9,Cloudy
11528559,Wilmot Street (Main Street),trunk,Old A2,60,61,Average,16,3,Medium,12,Waterlogging,Medium,6227,325102,217945,Divider Repair,SafeHighway,3.2,Rainy
11528642,Hirimbura Road,primary,B128,60,72,Good,7,1,Low,23,Pothole,Low,6269,76504,382688,Resurfacing,Lanka Infra,3.7,Rainy
13758914,Independence Avenue,primary,AC1,60,70,Average,0,0,Low,15,Broken Divider,High,955,165338,237283,Pothole Repair,UrbanTrack,4.2,Sunny
13758969,Talduwa-Meewitigammana Road,primary,B408,60,95,Good,16,4,High,9,Cracks,Medium,3033,449061,392691,Divider Repair,UrbanTrack,3.2,Sunny
13840194,Horana - Padukka Road,primary,B123,50,35,Poor,10,9,Low,11,Pothole,Medium,4009,166337,327135,Resurfacing,RoadCare,4.7,Cloudy
13858419,Galle Road,trunk,A2,60,53,Average,16,1,Medium,21,Cracks,High,1330,410869,14984,Pothole Repair,SafeHighway,3.4,Cloudy
13881187,H. K. Edmond Mawatha,primary,B109,50,49,Average,9,9,Low,23,Cracks,Low,189,456452,268339,Divider Repair,SafeHighway,4.1,Rainy
13881209,Morris Road,primary,B109,50,55,Average,14,4,High,18,Waterlogging,High,2019,407686,48919,Resurfacing,RoadCare,4.4,Cloudy
13881229,Main Street,primary,B49,40,70,Average,10,7,High,21,Broken Divider,High,5927,202963,86277,Resurfacing,RoadCare,4.5,Rainy
13881232,Galle Road,trunk,A2,70,43,Average,7,5,High,0,Pothole,Low,2060,196217,264238,Divider Repair,RoadCare,5,Cloudy
13881240,Galle Road,trunk,A2,70,90,Good,16,13,High,1,Pothole,High,3651,361307,60803,Resurfacing,Lanka Infra,5,Rainy
13884292,D. R. Wijewardene Mawatha,primary,AC6,60,52,Average,17,14,Medium,15,Pothole,Low,8344,202484,246135,Pothole Repair,SafeHighway,4.8,Foggy
14340724,Main Street,trunk,A2,60,43,Average,12,14,Low,14,Cracks,Low,6331,63078,14164,Divider Repair,SafeHighway,4.2,Rainy
14340729,Colombo Road,trunk,A2,60,82,Good,8,0,Low,4,Waterlogging,High,8416,403127,243472,Pothole Repair,SafeHighway,4.1,Foggy
14340731,Wakwella Road,primary,B130,50,36,Poor,9,13,Low,11,Waterlogging,Low,7226,267687,338799,Pothole Repair,RoadCare,4.8,Foggy
14340733,Esplanade Road,primary,B37,40,38,Poor,0,7,Low,22,Broken Divider,Medium,1774,482562,41333,Pothole Repair,SafeHighway,3.6,Sunny
14340740,Esplanade Road,primary,B37,40,94,Good,20,12,High,19,Waterlogging,Low,8089,81694,62495,Resurfacing,SafeHighway,2.7,Rainy
14340745,Baladaksha Mawatha,primary,B37,30,27,Poor,5,5,High,3,Pothole,Low,5990,66752,43129,Pothole Repair,UrbanTrack,3.5,Rainy
14428007,Galle-Wakwella Road,primary,B130,50,33,Poor,12,3,Medium,16,Broken Divider,Low,7342,189383,286777,Resurfacing,RoadCare,3,Foggy
18598833,Galle Face Centre Road,trunk,A2,60,55,Average,4,3,Low,12,Waterlogging,Medium,4784,93406,71625,Divider Repair,RoadCare,4.8,Foggy
18598993,Ananda Coomaraswamy Mawatha,trunk,A0,50,43,Average,10,9,High,14,Pothole,Low,285,303751,92643,Pothole Repair,UrbanTrack,3.1,Sunny
18599019,Baseline Road,trunk,A1,60,75,Good,9,11,High,16,Waterlogging,Low,9952,264837,287621,Pothole Repair,Lanka Infra,2.7,Sunny
18599092,Hill Street,primary,B249,50,51,Average,4,12,Medium,2,Cracks,High,5104,463651,284856,Pothole Repair,UrbanTrack,3.4,Sunny
18599118,Main Street (New Bazaar Street),primary,B331-5,50,84,Good,14,14,Low,25,Cracks,Low,6496,98840,355551,Pothole Repair,Lanka Infra,4.2,Foggy
18599172,Sir Ernest de Silva Mawatha,trunk,A4,60,50,Average,13,9,Low,15,Cracks,Medium,9663,335037,146023,Pothole Repair,SafeHighway,3.9,Foggy
19144420,Blackpool-Ambewela Road,primary,B512,60,41,Average,5,4,Medium,2,Broken Divider,Medium,5731,434827,345717,Resurfacing,RoadCare,4.6,Rainy
19144424,Lady MacCulum's Drive,tertiary,B249,30,57,Average,5,14,High,17,Cracks,High,9289,253607,271909,Resurfacing,UrbanTrack,4.7,Sunny
19145855,Kandy Road,trunk,A5,50,27,Poor,6,13,Low,4,Cracks,Low,4982,468106,41946,Divider Repair,UrbanTrack,4.6,Foggy
19314681,Gintota-Wakwella Road,primary,B138,50,78,Good,6,13,Medium,4,Cracks,High,9910,369365,11150,Pothole Repair,Lanka Infra,4.4,Cloudy
19314684,Gintota-Wakwella Road,primary,B138,50,20,Poor,11,6,Medium,21,Pothole,Low,1261,197352,326104,Resurfacing,SafeHighway,2.6,Rainy
19314718,Wakwella Road,primary,B130,50,33,Poor,8,6,Low,22,Waterlogging,Low,567,105032,301069,Pothole Repair,RoadCare,3.8,Sunny
19314720,Wakwella Road,primary,B130,50,67,Average,7,3,Medium,11,Cracks,High,2858,485209,340210,Pothole Repair,SafeHighway,3,Sunny
19314728,Galle Road,trunk,A2,70,83,Good,14,9,High,6,Waterlogging,Medium,8000,463171,374202,Resurfacing,Lanka Infra,4.2,Rainy
19314731,Galle Road,trunk,A2,70,23,Poor,1,6,Low,16,Pothole,Medium,952,451966,279059,Resurfacing,UrbanTrack,3.1,Rainy
19314737,Galle Road,trunk,A2,70,73,Good,12,10,Low,3,Cracks,Medium,7719,475425,234881,Pothole Repair,SafeHighway,2.7,Rainy
19314746,Galle Road,trunk,A2,70,73,Good,3,2,Medium,1,Cracks,Low,4028,443356,215914,Pothole Repair,RoadCare,4.1,Rainy
19315522,Galle Road,trunk,A2,60,68,Average,4,3,High,3,Pothole,Medium,6750,205606,291229,Resurfacing,Lanka Infra,4.7,Foggy
19315523,Galle Road,trunk,A2,60,66,Average,3,12,Low,14,Waterlogging,Medium,5809,469727,161705,Pothole Repair,RoadCare,2.7,Sunny
19325147,Galle Road New Deviation,primary,AB11,60,51,Average,1,8,Medium,21,Cracks,Medium,6227,212869,123642,Resurfacing,UrbanTrack,4.3,Foggy
19325157,Galle Road New Deviation,primary,AB11,50,27,Poor,14,6,Medium,10,Pothole,Low,6276,334646,92329,Divider Repair,UrbanTrack,3.9,Sunny
19811332,Anagarika Dharmapala Mawatha (Allen Avenue),primary,B11,40,45,Average,11,11,High,20,Cracks,Low,9025,420072,81210,Resurfacing,UrbanTrack,3.6,Foggy
19811337,Attidiya Road,primary,B389,50,83,Good,15,12,High,21,Cracks,High,9135,257475,25949,Divider Repair,RoadCare,4.2,Cloudy
19882439,Pepiliyana Road,secondary,B389,50,45,Average,4,14,Medium,10,Waterlogging,High,9658,338720,182002,Pothole Repair,SafeHighway,3.8,Rainy
19882440,S. De S. Jayasinghe Road,primary,B120,50,70,Average,2,7,Low,17,Broken Divider,Low,3030,270104,173913,Pothole Repair,SafeHighway,3.7,Foggy
22362995,Piliyandala-Maharagama Road,primary,B367,50,45,Average,9,1,Low,12,Waterlogging,High,8718,148638,109453,Divider Repair,UrbanTrack,4.3,Sunny
22364299,Pamunuwa Road,primary,B504,40,25,Poor,3,11,Medium,1,Broken Divider,Medium,6038,263836,104468,Resurfacing,Lanka Infra,4.7,Cloudy
22819742,Horana-Kalutara Road,primary,B224,50,75,Good,11,4,Low,0,Broken Divider,High,4116,102950,218027,Divider Repair,Lanka Infra,4.5,Sunny
22819747,Padukka - Ingirya Road,primary,B240,50,36,Poor,7,8,High,25,Cracks,Medium,376,204258,34108,Pothole Repair,UrbanTrack,4.5,Cloudy
22942704,Radella Short Cut Road,primary,B381,60,94,Good,4,11,Low,23,Waterlogging,Low,7378,66357,53503,Resurfacing,UrbanTrack,4.9,Cloudy
22942705,Nanu Oya Road,trunk,A7,70,58,Average,16,1,Medium,15,Waterlogging,High,5068,453628,170877,Pothole Repair,Lanka Infra,4.7,Sunny
22942706,Hatton-Maskeliya-Sri Pada Road,primary,B149,60,20,Poor,4,6,Medium,16,Waterlogging,Low,8223,473679,128238,Divider Repair,UrbanTrack,4.3,Foggy
23007728,Baddegama Road,primary,B128,60,81,Good,5,14,Medium,4,Cracks,Medium,7662,106567,319079,Divider Repair,Lanka Infra,4.5,Sunny
23007735,Batapola Road,primary,B176,50,49,Average,13,2,Medium,2,Cracks,High,529,400145,367780,Resurfacing,Lanka Infra,4.3,Rainy
23007745,Hikkaduwa-Baddegama Road,primary,B153,60,77,Good,16,0,High,23,Pothole,High,8518,343398,50036,Resurfacing,RoadCare,2.5,Rainy
23007747,Dodanduwa-Gonapinuwala Road,primary,B106,50,29,Poor,14,11,Medium,22,Cracks,High,3831,385058,169515,Pothole Repair,Lanka Infra,3.2,Cloudy
23007749,Hikkaduwa-Baddegama Road,primary,B153,60,73,Good,7,9,Medium,11,Cracks,Medium,7672,144194,163334,Pothole Repair,UrbanTrack,4.5,Cloudy
23153228,Galle Road,trunk,A2,70,61,Average,15,10,High,1,Waterlogging,Medium,9418,58486,255969,Pothole Repair,UrbanTrack,3.1,Rainy
23153230,Galle Road,trunk,A2,70,49,Average,19,9,Medium,11,Broken Divider,High,2022,453255,192606,Pothole Repair,Lanka Infra,2.6,Foggy
23153238,Galle Road,trunk,A2,70,42,Average,15,3,High,4,Pothole,Medium,5368,206827,245961,Divider Repair,RoadCare,2.7,Rainy
23153243,Galle Road,trunk,A2,70,80,Good,10,8,Low,4,Cracks,Low,2537,193247,281491,Divider Repair,RoadCare,3.3,Foggy
23153251,Matara Road,trunk,A2,60,59,Average,5,11,Medium,14,Waterlogging,High,249,112335,244902,Pothole Repair,Lanka Infra,4,Foggy
23169380,Srimath Anagarika Dharmapala Mawatha,trunk,A0,60,70,Average,9,12,High,12,Broken Divider,High,2387,489656,52082,Divider Repair,Lanka Infra,2.7,Foggy
23169384,Ananda Coomaraswamy Mawatha,trunk,A0,60,42,Average,1,15,High,21,Cracks,High,2717,152764,217342,Resurfacing,UrbanTrack,3.8,Cloudy
23185502,Nawala Road,primary,B470,50,92,Good,19,14,High,3,Pothole,Low,6381,447039,166359,Divider Repair,SafeHighway,4.8,Rainy
23185504,Old Kesbawa Road,primary,B134,50,32,Poor,18,14,High,2,Waterlogging,Medium,3649,379741,278780,Divider Repair,SafeHighway,5,Cloudy
23185505,Jinadasa Niyathapala Mawatha (Nawala Road),primary,B307,50,88,Good,15,3,High,8,Broken Divider,High,5267,265663,96400,Pothole Repair,UrbanTrack,3.3,Cloudy
23185849,Dehiwela Road (Dehiwela-Maharagama Road),primary,B94,50,70,Average,10,3,Low,24,Cracks,Medium,4630,171080,112881,Pothole Repair,Lanka Infra,4.6,Rainy
23185850,Pamunuwa Road,primary,B504,40,55,Average,3,3,Medium,6,Cracks,Medium,9625,199685,141127,Pothole Repair,RoadCare,2.9,Rainy
23185851,New Hospital Road,primary,AB5,40,24,Poor,0,6,High,18,Broken Divider,Low,6582,315859,193253,Divider Repair,SafeHighway,3.2,Foggy
23185852,New Hospital Road,primary,AB5,40,87,Good,17,14,Medium,22,Cracks,Low,5748,415676,309429,Divider Repair,RoadCare,4.7,Cloudy
23185859,Attidiya Road,primary,B389,50,69,Average,13,10,Low,25,Pothole,Medium,7272,131515,184841,Divider Repair,Lanka Infra,3.4,Cloudy
23190545,Parliament Road,primary,AB15,40,27,Poor,1,11,Medium,11,Cracks,Medium,2630,369538,158707,Resurfacing,SafeHighway,2.7,Cloudy
23194251,Olcott Mawatha,trunk,A1,60,59,Average,20,1,Medium,16,Pothole,Low,1864,300630,120615,Pothole Repair,SafeHighway,4.3,Sunny
23201982,Abdul Wahab Mawatha (Talapitiya Road),primary,AB36,40,62,Average,17,2,Medium,25,Cracks,Low,301,269779,114197,Pothole Repair,UrbanTrack,3.5,Foggy
23233929,Dr. S. A. Wickramasinghe Mawatha (Station Road),primary,B27-16,40,38,Poor,6,3,Low,17,Pothole,High,1645,404982,69630,Resurfacing,Lanka Infra,3.1,Foggy
23233944,Beach Road,primary,B524,60,74,Good,1,5,High,24,Waterlogging,High,5148,443723,370334,Pothole Repair,SafeHighway,4,Foggy
23233980,Mahaanaama Bridge,trunk,A2,40,95,Good,7,6,Low,7,Pothole,Low,4226,104762,114991,Divider Repair,Lanka Infra,4.9,Rainy
23233981,Anagarika Dharmapala Mawatha,trunk,A2,40,34,Poor,1,11,High,10,Cracks,High,4128,342115,304004,Resurfacing,Lanka Infra,2.9,Sunny
23323033,Colombo-Piliyandala-Horana Road,primary,B84,50,53,Average,19,6,High,18,Pothole,Low,8362,314803,242624,Resurfacing,RoadCare,3.2,Cloudy
23323086,Kotagama Sri Vachissara Mawatha,primary,B229,50,73,Good,20,4,Medium,21,Waterlogging,Medium,9016,87063,285299,Resurfacing,RoadCare,3,Sunny
23323109,Welipara (Chandra Silva Mawatha),primary,B534,40,58,Average,3,5,Low,8,Pothole,Low,914,335444,113309,Resurfacing,Lanka Infra,2.6,Cloudy
23323122,Old Kottawa Road,primary,B291,50,67,Average,12,10,Medium,11,Waterlogging,Low,476,65062,289402,Divider Repair,UrbanTrack,3.3,Sunny
23323309,Horana - Padukka Road,primary,B123,50,85,Good,13,0,Low,20,Waterlogging,Low,9814,249060,51168,Divider Repair,RoadCare,2.7,Sunny
23323373,Kottawa-Mattegoda,primary,B654,50,59,Average,17,7,High,23,Cracks,Medium,9514,364622,311566,Divider Repair,Lanka Infra,4.3,Cloudy
23323408,Kottawa-Thalagala Road,primary,B239,50,27,Poor,13,9,Medium,2,Pothole,Low,3656,170247,61935,Pothole Repair,UrbanTrack,2.7,Sunny
23351957,Old Kesbawa Road,primary,B134,50,94,Good,3,11,Low,25,Waterlogging,Medium,7697,68669,117548,Resurfacing,SafeHighway,2.8,Foggy
23408427,Nagoda-Kalawellawa-Bellapitiya Road,primary,B304,60,27,Poor,9,5,Low,0,Waterlogging,Low,7049,248551,177600,Resurfacing,SafeHighway,2.9,Rainy
23426574,Sri Aryawilasha Road,primary,B404,50,91,Good,8,9,Low,24,Pothole,High,9978,283566,248129,Resurfacing,SafeHighway,4.1,Rainy
23427527,Sri Soratha Mawatha,primary,B316,40,30,Poor,15,11,Medium,23,Pothole,Low,2078,238370,385219,Pothole Repair,UrbanTrack,3,Cloudy
23456968,Kaduwela Road (New Kandy Road),primary,B263,60,85,Good,13,7,High,21,Waterlogging,Low,4413,237573,74106,Divider Repair,UrbanTrack,3.5,Rainy
23456969,Polduwa Road,primary,B653,40,90,Good,15,3,Medium,22,Cracks,Low,2432,400081,26509,Divider Repair,Lanka Infra,3.1,Cloudy
23532038,Kesbewa - Kindelpitiya - Bandaragama Road,primary,B216,72,88,Good,19,4,Medium,12,Broken Divider,Low,4016,310147,212727,Divider Repair,Lanka Infra,4.7,Sunny
23565541,New Hospital Road,primary,AB5,40,87,Good,11,15,Low,14,Cracks,High,8304,417701,78162,Resurfacing,SafeHighway,2.7,Foggy
23570028,Olcott Mawatha,trunk,A1,60,82,Good,14,4,Low,20,Broken Divider,High,4474,483486,331471,Divider Repair,UrbanTrack,3.8,Cloudy
23604544,Piliyandala-Maharagama Road,primary,B367,50,82,Good,4,8,Medium,11,Waterlogging,High,6220,457648,337032,Resurfacing,Lanka Infra,3.8,Cloudy
23691496,Moratuwa-Piliyandala Road,primary,B295,60,27,Poor,14,15,Low,15,Waterlogging,Low,5389,259044,17715,Divider Repair,UrbanTrack,2.5,Sunny
23703656,Sri Somananda Mawatha,primary,B405,40,49,Average,20,4,Low,0,Pothole,High,6167,362029,192422,Resurfacing,Lanka Infra,4.6,Rainy
23721602,Sri Jayewardenepura Mawatha,trunk,A0,70,41,Average,0,14,Low,1,Cracks,High,2370,138536,53534,Pothole Repair,SafeHighway,4,Foggy
23796925,Kirigampanuwa Road,primary,B654,40,79,Good,18,12,Medium,11,Cracks,Medium,4740,273407,14084,Resurfacing,UrbanTrack,2.8,Rainy
23802729,Sirimavo Bandaranaike Mawatha (Peradeniya Road),trunk,A1,60,52,Average,16,15,Medium,23,Pothole,High,1976,147423,374958,Divider Repair,Lanka Infra,4.3,Rainy
23802733,Sri Dalada Veediya,trunk,A1,60,73,Good,4,12,High,5,Broken Divider,Medium,6117,114637,88157,Pothole Repair,Lanka Infra,3.3,Rainy
23802861,D. S. Senanayake Veediya (Trincomalee Street),trunk,A9,60,40,Poor,16,15,Medium,25,Pothole,Low,4824,346789,258839,Resurfacing,RoadCare,3.1,Foggy
23802868,Yatinuwara Veediya,primary,B519,50,41,Average,6,0,High,17,Broken Divider,Medium,5593,360645,395996,Resurfacing,Lanka Infra,4.1,Sunny
23802869,Thilak Ratnayake Mawatha,primary,B70,50,24,Poor,7,11,Low,25,Cracks,Low,1470,240305,226131,Pothole Repair,SafeHighway,3.1,Foggy
23802870,Katugastota Road,trunk,A9,60,22,Poor,16,11,Low,5,Pothole,Medium,3967,117483,281018,Pothole Repair,Lanka Infra,4.5,Cloudy
23810654,Moragaswewa-Illukwewa Road,primary,B294,50,30,Poor,8,1,Low,10,Pothole,High,4087,297779,313683,Resurfacing,RoadCare,2.6,Sunny
23810666,Anuradhapura Road,trunk,A9,70,58,Average,5,13,Medium,16,Cracks,Low,4502,347857,265679,Divider Repair,Lanka Infra,3.4,Cloudy
23810971,S. W. R. D. Bandaranaike Mawatha,primary,B27-1,60,82,Good,9,10,Medium,10,Waterlogging,High,170,481016,337137,Pothole Repair,RoadCare,3.1,Sunny
23810972,Gampola Road,trunk,A5,50,47,Average,16,11,Medium,20,Pothole,Medium,4748,166089,362672,Divider Repair,SafeHighway,3.7,Foggy
23811054,Sri Jayewardenepura Mawatha,trunk,A0,70,94,Good,16,9,High,0,Pothole,Medium,9215,185161,95993,Divider Repair,RoadCare,3,Rainy
23811488,Madawala Road,trunk,A9,60,37,Poor,7,5,Low,19,Pothole,Low,9740,190221,124078,Divider Repair,Lanka Infra,3.8,Foggy
23811489,Madawala Road,primary,B205,60,51,Average,13,3,Low,25,Cracks,Medium,4670,191437,168497,Pothole Repair,UrbanTrack,3.6,Cloudy
23811494,Katugastota Bridge,trunk,A9,60,31,Poor,13,5,High,0,Cracks,Low,3410,222270,165535,Pothole Repair,RoadCare,3.6,Cloudy
23813073,Main Street (Trincomalee Street),trunk,A9,60,53,Average,13,9,Medium,2,Broken Divider,Low,3024,153702,337285,Resurfacing,RoadCare,4.5,Rainy
